Pool,Day,Month,Year,Transect_Direction,Species,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,41,
San Miguel,23,4,2003,SN,Alopecurus saccatus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Ambrosia psylostachya,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Anagalis arvensis,7,3,1,,,,,,,,1,,,,,,,,,,
San Miguel,23,4,2003,SN,Artemesis douglasiana,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Aster subulatus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Atriplex lentiformes,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Avena barbata,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Avena fatua,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Baccharis pilularis,,1,1,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Brodiea jolonensis,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Bromus diandrus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Bromus hordeaceous,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Castilleja exserta ,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Centunculus minimus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Chamomilla suaveolens,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Chenepode?,5,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Conyza canadensis,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Coronopus didymus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Cotula coronopofolia,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Crassula aquatica,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Cynodon dactylon,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Cyperus strigosus? (nut sedge),,,,,,,,,,,1,,,,,,,,,,
San Miguel,23,4,2003,SN,Distichlis spicata,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Echinochloa crusgalli,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Elatine brachysperma,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Eleocharis acicularis,,,,,,,,,,,,,,,,,,,,,
