start_date,end_date,San Miguel,Santa Rosa,Santa Cruz,Santa Barbara,Santa Catalina
10/21/02,10/25/02,0,0,0,0,0
10/28/02,11/1/02,0,0,0,0,0
11/4/02,11/8/02,14,14,8.5,15,11
11/11/02,11/15/02,5,8,4,6,4
11/18/02,11/22/02,4,6,3,0,0
11/25/02,11/29/02,1,5.5,3,0,0
12/2/02,12/6/02,0.5,5,2,0,0
12/9/02,12/6/02,1,1.5,1.5,0,0
12/16/02,12/20/02,15,15.5,9,15.5,11.5
12/23/02,12/27/02,14,15,8.8,15,11
12/30/02,1/3/03,14,14.5,8.8,15,11
1/6/03,1/10/03,14,14.5,8,14.5,10.5
1/13/03,1/17/03,13,14,7.5,14,10
1/20/03,1/24/03,12.5,13,7,13,9
1/27/03,1/31/03,14,13,6.5,13,9
2/3/03,2/7/03,11,12,5.5,12,8
2/10/03,2/14/03,15,15.5,9,15.5,11.5
2/17/03,2/21/03,14,15,8,14.5,11
2/24/03,2/28/03,14,14,8,15.5,10.5
3/3/03,3/7/03,12.5,13,7,13,9.5
3/10/03,3/14/03,12.5,13,6.5,12.5,9
3/17/03,3/21/03,14,14.5,7.5,15.5,10.5
3/24/03,3/28/03,12,13,6.5,13,10
3/31/03,4/4/03,11.5,12,5,12,8
4/7/03,4/4/03,10,11,4,12,7.5
4/14/03,4/18/03,11,12,5.5,12.5,8
4/21/03,4/25/03,10,11.5,4,12,7
4/28/03,5/2/03,11,12,5,12,7.5
5/5/03,5/9/03,11.5,13,7,13,9
5/12/03,5/16/03,10,12,5,12,8
5/19/03,5/23/03,9,10.5,2,9,6
5/26/03,5/30/03,8,9,0,7,6
6/2/03,6/6/03,7,8,0,7,4
6/9/03,6/13/03,4.5,6.5,0,5,2
6/16/03,6/20/03,2,4,0,3,0
6/23/03,6/27/03,0,0,0,0,0
