start_date,full_date,San Miguel,Santa Rosa,Santa Cruz,Santa Barbara,Santa Catalina
10/21/02,10/21/02,0,0,0,0,0
10/28/02,10/28/02,0,0,0,0,0
11/4/02,11/4/02,14,14,8.5,15,11
11/11/02,11/11/02,5,8,4,6,4
11/18/02,11/18/02,4,6,3,0,0
11/25/02,11/25/02,1,5.5,3,0,0
12/2/02,12/2/02,0.5,5,2,0,0
12/9/02,12/9/02,1,1.5,1.5,0,0
12/16/02,12/16/02,15,15.5,9,15.5,11.5
12/23/02,12/23/02,14,15,8.8,15,11
12/30/02,12/30/02,14,14.5,8.8,15,11
1/6/03,1/6/03,14,14.5,8,14.5,10.5
1/13/03,1/13/03,13,14,7.5,14,10
1/20/03,1/20/03,12.5,13,7,13,9
1/27/03,1/27/03,14,13,6.5,13,9
2/3/03,2/3/03,11,12,5.5,12,8
2/10/03,2/10/03,15,15.5,9,15.5,11.5
2/17/03,2/17/03,14,15,8,14.5,11
2/24/03,2/24/03,14,14,8,15.5,10.5
3/3/03,3/3/03,12.5,13,7,13,9.5
3/10/03,3/10/03,12.5,13,6.5,12.5,9
3/17/03,3/17/03,14,14.5,7.5,15.5,10.5
3/24/03,3/24/03,12,13,6.5,13,10
3/31/03,3/31/03,11.5,12,5,12,8
4/7/03,4/7/03,10,11,4,12,7.5
4/14/03,4/14/03,11,12,5.5,12.5,8
4/21/03,4/21/03,10,11.5,4,12,7
4/28/03,4/28/03,11,12,5,12,7.5
5/5/03,5/5/03,11.5,13,7,13,9
5/12/03,5/12/03,10,12,5,12,8
5/19/03,5/19/03,9,10.5,2,9,6
5/26/03,5/26/03,8,9,0,7,6
6/2/03,6/2/03,7,8,0,7,4
6/9/03,6/9/03,4.5,6.5,0,5,2
6/16/03,6/16/03,2,4,0,3,0
6/23/03,6/23/03,0,0,0,0,0
12/14/03,12/14/03,0,0,2,1.5,2.5
12/22/03,12/22/03,13,13.25,7,13.75,11
12/29/03,12/29/03,9.25,8.5,4.25,9.5,9
1/5/04,1/5/04,7,7,2,7,8.5
1/12/04,1/12/04,6,6,0,6,7
1/19/04,1/19/04,5,4,0,5,4
1/26/04,1/26/04,3,2.5,0,3,3.5
2/2/04,2/2/04,3,2.5,0,3,4
2/9/04,2/9/04,2.5,2.5,0,2.5,3.5
2/16/04,2/16/04,3,3,2,3,4
2/23/04,2/23/04,13,12,6,11.5,9
3/1/04,3/1/04,13.5,12.5,6.5,12,9.5
